,ihme_lower,ihme_mean,ihme_upper,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-04-20,0.0,21.6577078947368,92.3599999999999,5.681614998009508,7.026432750286668,7.026432750286668,6.536216511894577
2020-04-21,0.0,22.030031578947398,94.28624999999991,6.305795763005371,7.1898381630840325,7.1898381630840325,6.69962192469194
2020-04-22,0.0,22.1496052631579,95.3137499999999,6.997728276211313,7.353243575881398,7.353243575881398,6.69962192469194
2020-04-23,0.0,22.024028947368397,95.3525,7.764575772116586,7.680054401476125,7.680054401476125,6.863027337489305
2020-04-24,0.0,21.6814657894737,95.3025,8.614214373667494,7.843459814273491,7.843459814273491,6.863027337489305
2020-04-25,0.0,21.0741605263158,93.76375,9.555293581698947,8.17027063986822,8.17027063986822,6.863027337489305
2020-04-26,0.0,20.26505,91.075,10.597299348553276,8.333676052665584,8.333676052665584,6.863027337489305
2020-04-27,0.0,19.2777421052632,87.17375,11.750619141637912,8.660486878260311,8.660486878260311,6.863027337489305
2020-04-28,0.0,18.1006947368421,82.50625,13.026608161096844,8.823892291057676,8.823892291057676,6.863027337489305
2020-04-29,0.0,16.7935710526316,76.80125,14.437655576941864,9.150703116652407,9.150703116652407,6.863027337489305
2020-04-30,0.0,15.3765421052632,71.12125,15.997249285011575,9.314108529449769,9.314108529449769,6.863027337489305
2020-05-01,0.0,13.924926315789499,65.715,17.720037237330644,9.640919355044499,9.640919355044499,6.69962192469194
2020-05-02,0.0,12.452039473684199,59.67374999999989,19.62188286969382,9.967730180639226,9.967730180639226,6.69962192469194
2020-05-03,0.0,11.0078552631579,55.12125,21.719911516553907,10.131135593436591,10.131135593436591,6.536216511894577
2020-05-04,0.0,9.63643684210526,49.52375,24.032543960390573,10.457946419031321,10.457946419031321,6.372811099097213
2020-05-05,0.0,8.37686052631579,45.31375,26.579512401658487,10.621351831828687,10.621351831828687,6.209405686299848
2020-05-06,0.0,7.20143947368421,40.615,29.38185315193323,10.948162657423415,10.948162657423415,6.046000273502482
2020-05-07,0.0,6.133392105263161,35.43625,32.46186924894482,11.11156807022078,11.11156807022078,5.882594860705117
2020-05-08,0.0,5.16102368421053,30.465,35.843054978990274,11.438378895815509,11.438378895815509,5.7191894479077545
2020-05-09,0.0,4.30566052631579,27.1025,39.54997299413093,11.601784308612874,11.601784308612874,5.555784035110389
2020-05-10,0.0,3.52873684210526,22.55625,43.608073371197634,11.765189721410234,11.765189721410234,5.392378622313025
2020-05-11,0.0,2.85083421052632,18.6725,48.04344264359395,12.092000547004965,12.092000547004965,5.228973209515661
2020-05-12,0.0,2.27284473684211,15.71125,52.882469642948415,12.25540595980233,12.25540595980233,5.0655677967182955
2020-05-13,0.0,1.7705605263157902,12.75625,58.151414051953005,12.418811372599695,12.418811372599695,4.738756971123569
2020-05-14,0.0,1.37576842105263,9.61249999999999,63.87586307445133,12.745622198194425,12.745622198194425,4.575351558326203
2020-05-15,0.0,1.0452157894736802,7.155,70.08006180855125,12.909027610991789,12.909027610991789,4.411946145528838
2020-05-16,0.0,0.7867078947368421,5.85375,76.78610405408438,13.072433023789154,13.072433023789154,4.248540732731473
2020-05-17,0.0,0.5798184210526321,4.705,84.01297274301362,13.235838436586516,13.235838436586516,3.921729907136745
2020-05-18,0.0,0.42331315789473706,3.5062499999999903,91.77542334209964,13.39924384938388,13.39924384938388,3.7583244943393814
2020-05-19,0.0,0.30591842105263206,2.9525,100.08270985775528,13.562649262181244,13.562649262181244,3.5949190815420167
2020-05-20,0.0,0.213652631578947,2.00125,108.93716187711493,13.72605467497861,13.72605467497861,3.2681082559472885
2020-05-21,0.0,0.151873684210526,1.75125,118.33263273970057,13.889460087775971,13.889460087775971,3.104702843149924
2020-05-22,0.0,0.101778947368421,1.25,128.2528536303505,14.052865500573336,14.052865500573336,2.9412974303525585
2020-05-23,0.0,0.0666342105263158,0.9,138.6697460361702,14.052865500573336,14.052865500573336,2.7778920175551947
2020-05-24,0.0,0.0442894736842105,0.55,149.54176515106997,14.216270913370705,14.216270913370705,2.6144866047578303
2020-05-25,0.0,0.0237421052631579,0.0,160.81236845023295,14.379676326168067,14.379676326168067,2.451081191960466
2020-05-26,0.0,0.0159289473684211,0.0,172.4087251555247,14.706487151762795,14.379676326168067,2.1242703663657365
2020-05-27,0.0,0.00804736842105263,0.0,184.2408013070708,15.196703390154891,14.379676326168067,1.9608649535683729
2020-05-28,0.0,0.00451315789473684,0.0,196.20096856551663,15.850325041344345,14.543081738965432,1.7974595407710083
2020-05-29,0.0,0.00267105263157895,0.0,208.1642890476205,16.503946692533805,14.543081738965432,1.7974595407710083
2020-05-30,0.0,0.0006842105263157901,0.0,219.98961956752373,17.48437916931799,14.543081738965432,1.6340541279736442
